# x_Ainv held_b1_THz held_b2_THz held_b3_THz held_b4_THz held_b5_THz held_b6_THz held_b7_THz held_b8_THz held_b9_THz held_b10_THz held_b11_THz held_b12_THz held_b13_THz held_b14_THz held_b15_THz held_b16_THz held_b17_THz held_b18_THz held_b19_THz held_b20_THz held_b21_THz held_b22_THz held_b23_THz held_b24_THz held_b25_THz held_b26_THz held_b27_THz held_b28_THz held_b29_THz held_b30_THz
3.297967541150e-01 -3.084286681104e+01 -2.235708744245e+01 -2.030280299022e+01 -1.814131295209e+01 -1.621124451919e+01 -1.614598853043e+01 -1.442790605271e+01 -1.438530586843e+01 -1.010009520111e+01 -8.300845837689e+00 -7.305467936747e+00 -6.229509645614e+00 -3.337521007465e+00 2.182673981104e+00 6.309193176877e+00 7.304187253055e+00 7.920097824640e+00 9.330644693456e+00 1.060914984569e+01 1.196380093831e+01 1.274162782808e+01 1.512386187361e+01 1.558861216329e+01 1.613812196320e+01 1.772793036866e+01 1.987972419141e+01 2.233552735131e+01 2.260482549613e+01 2.451101941474e+01 3.084310187521e+01
3.420114487119e-01 -3.084614780013e+01 -2.240963760879e+01 -2.039404893597e+01 -1.815781941306e+01 -1.632659880951e+01 -1.615655562894e+01 -1.448663770258e+01 -1.442312552457e+01 -1.007301435704e+01 -8.368213044923e+00 -7.313797847412e+00 -6.213060211008e+00 -3.168689028403e+00 2.266442623419e+00 6.342624565068e+00 7.439699746359e+00 8.035191007737e+00 9.378375398466e+00 1.061358572611e+01 1.194836678383e+01 1.276759778045e+01 1.511500567653e+01 1.561490574613e+01 1.614189554438e+01 1.770645108482e+01 1.990655454682e+01 2.231705120362e+01 2.270251871720e+01 2.451750856375e+01 3.088092333022e+01
3.542261433087e-01 -3.084940789168e+01 -2.246346829799e+01 -2.048698280660e+01 -1.817290376742e+01 -1.645025657941e+01 -1.616670779363e+01 -1.457663720110e+01 -1.441788204414e+01 -1.005152139232e+01 -8.447219091153e+00 -7.299320887805e+00 -6.188137522712e+00 -2.983527861895e+00 2.350996905621e+00 6.364832853857e+00 7.582686035438e+00 8.141786860486e+00 9.422719626730e+00 1.061805557362e+01 1.193421394439e+01 1.279267481979e+01 1.510338925562e+01 1.564281816905e+01 1.614602689852e+01 1.768451252923e+01 1.993166184575e+01 2.229815447433e+01 2.280191189916e+01 2.452420692549e+01 3.091947247591e+01
3.664408379056e-01 -3.085263045533e+01 -2.251845764166e+01 -2.058145263217e+01 -1.818657936575e+01 -1.658124904615e+01 -1.617641143186e+01 -1.465599448358e+01 -1.441218849058e+01 -1.003569582671e+01 -8.533235832871e+00 -7.267104190385e+00 -6.154746886554e+00 -2.779218229837e+00 2.436617502207e+00 6.379543841176e+00 7.729389131692e+00 8.239975285606e+00 9.463606138517e+00 1.062257044569e+01 1.192162482592e+01 1.281678807871e+01 1.508907275049e+01 1.567231623028e+01 1.615052090299e+01 1.766214552778e+01 1.995512709421e+01 2.227886786258e+01 2.290266988253e+01 2.453110685149e+01 3.095868328428e+01
3.786555325024e-01 -3.085579805908e+01 -2.257447966559e+01 -2.067730767207e+01 -1.819887392625e+01 -1.671841957343e+01 -1.618563369723e+01 -1.472561759254e+01 -1.440605772373e+01 -1.002552340483e+01 -8.622544272493e+00 -7.221269723667e+00 -6.112996158080e+00 -2.551681409872e+00 2.523523147266e+00 6.389373566416e+00 7.877172520755e+00 8.329753747767e+00 9.501085802904e+00 1.062714451940e+01 1.191086283059e+01 1.283987813524e+01 1.507212116100e+01 1.570334904378e+01 1.615537943553e+01 1.763938141542e+01 1.997703907340e+01 2.225922329939e+01 2.300446924742e+01 2.453819997019e+01 3.099848816798e+01
3.908702270993e-01 -3.085889246225e+01 -2.263140541818e+01 -2.077439898259e+01 -1.820982780363e+01 -1.686053648361e+01 -1.619434251937e+01 -1.478651772008e+01 -1.439950251984e+01 -1.002090045508e+01 -8.712517304605e+00 -7.164813767128e+00 -6.063094438137e+00 -2.294629327817e+00 2.611880815001e+00 6.396119971197e+00 8.024227273645e+00 8.411014336076e+00 9.535356405034e+00 1.063179553146e+01 1.190216076321e+01 1.286189726129e+01 1.505260474709e+01 1.573584791501e+01 1.616060118814e+01 1.761625199934e+01 1.999749063437e+01 2.223925387454e+01 2.310700141654e+01 2.454547720067e+01 3.103881809004e+01
4.030849216962e-01 -3.086189461064e+01 -2.268910405863e+01 -2.087257990851e+01 -1.821949225122e+01 -1.700638662389e+01 -1.620250669032e+01 -1.483971376055e+01 -1.439253554687e+01 -1.002164259241e+01 -8.801419074240e+00 -7.099809840900e+00 -6.005346210285e+00 -1.997440520756e+00 2.701812311051e+00 6.401030736279e+00 8.169303523705e+00 8.483536389778e+00 9.566781098434e+00 1.063654530765e+01 1.189570986561e+01 1.288280959279e+01 1.503059872329e+01 1.576972744689e+01 1.616618152250e+01 1.759278952584e+01 2.001657578801e+01 2.221899375312e+01 2.320997480133e+01 2.455292877051e+01 3.107960267982e+01
4.152996162930e-01 -3.086478463433e+01 -2.274744388210e+01 -2.097170649910e+01 -1.822792770995e+01 -1.715483918954e+01 -1.621009600254e+01 -1.488616668404e+01 -1.438516937214e+01 -1.002749678520e+01 -8.888143949167e+00 -7.027672061957e+00 -5.940141815466e+00 -1.639374264496e+00 2.793398068906e+00 6.404995249311e+00 8.311518203746e+00 8.546989787649e+00 9.595894338410e+00 1.064142038595e+01 1.189165060401e+01 1.290259121741e+01 1.500618256444e+01 1.580488744065e+01 1.617211237208e+01 1.756902665166e+01 2.003438750317e+01 2.219847808214e+01 2.331311612701e+01 2.456054423756e+01 3.112077035468e+01
4.275143108899e-01 -3.086754184809e+01 -2.280629326514e+01 -2.107163785126e+01 -1.823520215066e+01 -1.730488057833e+01 -1.621708143286e+01 -1.492674295713e+01 -1.437741649664e+01 -1.003815549411e+01 -8.972006269090e+00 -6.949367742477e+00 -5.867945456950e+00 -1.167026061285e+00 2.886678715696e+00 6.408671469114e+00 8.450228172280e+00 8.600955435915e+00 9.623387778137e+00 1.064645273319e+01 1.189006626342e+01 1.292123017561e+01 1.497943917371e+01 1.584121523054e+01 1.617838219536e+01 1.754499642013e+01 2.005101610877e+01 2.217774288740e+01 2.341617108162e+01 2.456831251504e+01 3.116224844710e+01
4.397290054867e-01 -3.087014475477e+01 -2.286552151928e+01 -2.117223638471e+01 -1.824138948978e+01 -1.745562689727e+01 -1.622343536691e+01 -1.496220039131e+01 -1.436928941099e+01 -1.005327152584e+01 -9.052593957504e+00 -6.865566128580e+00 -5.789281977835e+00 -1.281080595296e-01 2.981654835444e+00 6.412567941974e+00 8.584948399922e+00 8.644969184228e+00 9.650069199720e+00 1.065168054867e+01 1.189098012114e+01 1.293872637027e+01 1.495045407986e+01 1.587858818624e+01 1.618497598318e+01 1.752073224263e+01 2.006654819275e+01 2.215682496109e+01 2.351890442914e+01 2.457622189995e+01 3.120396333648e+01
4.519437000836e-01 -3.087257105183e+01 -2.292499964594e+01 -2.127336805574e+01 -1.824656809265e+01 -1.760632193642e+01 -1.622913185784e+01 -1.499318860524e+01 -1.436080066902e+01 -1.007247239690e+01 -9.129671971306e+00 -6.776737294140e+00 -5.704723488328e+00 1.159948499275e+00 3.078285288121e+00 6.417097043615e+00 8.678591279657e+00 8.715299091929e+00 9.676792125654e+00 1.065714913567e+01 1.189435651877e+01 1.295509138043e+01 1.491931475711e+01 1.591687620361e+01 1.619187532154e+01 1.749626788587e+01 2.008106589717e+01 2.213576174064e+01 2.362109971358e+01 2.458426010408e+01 3.124584058531e+01
4.641583946804e-01 -3.087479764102e+01 -2.298460099005e+01 -2.137490251742e+01 -1.825081937392e+01 -1.775632714278e+01 -1.623414691296e+01 -1.502025756749e+01 -1.435196297562e+01 -1.009537329599e+01 -9.203119715866e+00 -6.683217058162e+00 -5.614876620770e+00 1.649239428350e+00 3.176484423019e+00 6.422610109802e+00 8.701494407274e+00 8.840971050968e+00 9.704363343625e+00 1.066291180299e+01 1.190010562311e+01 1.297034817471e+01 1.488611010724e+01 1.595594407057e+01 1.619905850993e+01 1.747163746505e+01 2.009464652017e+01 2.211459117931e+01 2.372255866330e+01 2.459241428763e+01 3.128780507873e+01
4.763730892773e-01 -3.087680064164e+01 -2.304420179322e+01 -2.147671323439e+01 -1.825422650075e+01 -1.790510813946e+01 -1.623845880144e+01 -1.504386967314e+01 -1.434278928616e+01 -1.012158807839e+01 -9.272890522857e+00 -6.585249831217e+00 -5.520370850132e+00 2.025642630090e+00 3.276118544384e+00 6.429421103282e+00 8.713551914756e+00 8.961702614330e+00 9.733447503924e+00 1.066903072913e+01 1.190809118661e+01 1.298453072046e+01 1.485093011044e+01 1.599565364227e+01 1.620650073315e+01 1.744687544314e+01 2.010736234925e+01 2.209335160931e+01 2.382310038657e+01 2.460067109492e+01 3.132978116713e+01
4.885877838741e-01 -3.087855540730e+01 -2.310368165029e+01 -2.157867756115e+01 -1.825687320156e+01 -1.805222055484e+01 -1.624204837556e+01 -1.506441258656e+01 -1.433329291515e+01 -1.015073805090e+01 -9.338985265684e+00 -6.483017325908e+00 -5.421848014575e+00 2.343318021916e+00 3.377002037274e+00 6.437822858379e+00 8.714901203415e+00 9.077264121493e+00 9.764494880757e+00 1.067557767756e+01 1.191814029488e+01 1.299768348527e+01 1.481386563262e+01 1.603586579098e+01 1.621417428338e+01 1.742201663620e+01 2.011928066359e+01 2.207208159827e+01 2.392256043146e+01 2.460901669203e+01 3.137169281070e+01
