segment,q_index,combined_path_distance,mode,original_cm-1,symmetry_fixed_cm-1,delta_cm-1
1,5,0.10858100,14,427.965600,428.112000,0.146400
1,5,0.10858100,15,429.426800,429.403100,-0.023700
1,5,0.10858100,16,459.527600,459.530200,0.002600
1,5,0.10858100,17,505.493800,505.247900,-0.245900
1,5,0.10858100,18,537.696100,537.643900,-0.052200
1,5,0.10858100,19,549.205400,548.946300,-0.259100
1,5,0.10858100,20,550.349500,550.292500,-0.057000
1,5,0.10858100,21,554.736700,554.785800,0.049100
1,5,0.10858100,22,564.280300,564.292400,0.012100
1,5,0.10858100,23,585.133900,584.814900,-0.319000
1,5,0.10858100,24,605.595900,605.441600,-0.154300
1,5,0.10858100,25,618.075000,618.072800,-0.002200
1,5,0.10858100,26,661.224100,661.105100,-0.119000
1,5,0.10858100,27,715.637100,715.158700,-0.478400
1,5,0.10858100,28,716.229200,715.963300,-0.265900
1,5,0.10858100,29,719.780900,719.457100,-0.323800
1,5,0.10858100,30,857.487700,857.449500,-0.038200
1,6,0.13029700,1,46.180900,45.877800,-0.303100
1,6,0.13029700,2,50.090500,49.812600,-0.277900
1,6,0.13029700,3,89.051000,88.947100,-0.103900
1,6,0.13029700,4,279.532900,279.557000,0.024100
1,6,0.13029700,5,344.234300,344.043700,-0.190600
1,6,0.13029700,6,346.666500,346.771200,0.104700
1,6,0.13029700,7,354.465200,354.161700,-0.303500
1,6,0.13029700,8,361.196200,361.153900,-0.042300
1,6,0.13029700,9,372.881000,372.720000,-0.161000
1,6,0.13029700,10,394.933300,394.962900,0.029600
1,6,0.13029700,11,398.203000,398.017100,-0.185900
1,6,0.13029700,12,409.134100,409.051900,-0.082200
1,6,0.13029700,13,422.686100,422.609200,-0.076900
1,6,0.13029700,14,431.173700,431.151100,-0.022600
1,6,0.13029700,15,431.797100,431.951400,0.154300
1,6,0.13029700,16,460.488800,460.449300,-0.039500
1,6,0.13029700,17,503.662100,503.432400,-0.229700
1,6,0.13029700,18,536.667900,536.540200,-0.127700
1,6,0.13029700,19,547.992000,547.697800,-0.294200
1,6,0.13029700,20,549.833900,549.796300,-0.037600
1,6,0.13029700,21,555.154000,555.200600,0.046600
1,6,0.13029700,22,562.787700,562.790200,0.002500
1,6,0.13029700,23,582.260300,581.936500,-0.323800
1,6,0.13029700,24,606.185800,606.037600,-0.148200
1,6,0.13029700,25,620.792100,620.817900,0.025800
1,6,0.13029700,26,661.020400,660.962400,-0.058000
1,6,0.13029700,27,715.765600,715.225000,-0.540600
1,6,0.13029700,28,716.728200,716.412400,-0.315800
1,6,0.13029700,29,720.072300,719.726500,-0.345800
1,6,0.13029700,30,856.604300,856.565600,-0.038700
1,7,0.15201300,1,53.876200,53.528800,-0.347400
1,7,0.15201300,2,58.643000,58.325800,-0.317200
1,7,0.15201300,3,103.832700,103.708700,-0.124000
