# x_Ainv held_b1_THz held_b2_THz held_b3_THz held_b4_THz held_b5_THz held_b6_THz held_b7_THz held_b8_THz held_b9_THz held_b10_THz held_b11_THz held_b12_THz held_b13_THz held_b14_THz held_b15_THz held_b16_THz held_b17_THz held_b18_THz held_b19_THz held_b20_THz held_b21_THz held_b22_THz held_b23_THz held_b24_THz held_b25_THz held_b26_THz held_b27_THz held_b28_THz held_b29_THz held_b30_THz
1.221469459685e-01 -2.308581687270e+01 -2.189960784863e+01 -2.039672036058e+01 -1.808938792269e+01 -1.493052347458e+01 -1.071330676812e+01 -9.485830863431e+00 -7.801558300936e+00 -6.943502167390e+00 -6.015488857399e+00 -5.588868505702e+00 -3.451964989896e+00 -3.361408116204e+00 -2.378075791528e+00 -1.374772078649e+00 -1.143622885685e+00 2.694497931960e+00 2.770972610998e+00 4.243208342585e+00 4.852510775471e+00 5.300069345382e+00 5.680643995413e+00 7.581751986693e+00 7.771983829868e+00 9.677508916944e+00 1.020736788547e+01 1.068908344444e+01 1.592775163404e+01 1.795764810316e+01 2.022713453509e+01
1.343616405654e-01 -2.308594815646e+01 -2.189903508018e+01 -2.040040608039e+01 -1.808583703986e+01 -1.493117309767e+01 -1.071747793106e+01 -9.501648757129e+00 -7.806554347161e+00 -6.948028839888e+00 -6.018575093054e+00 -5.592071555618e+00 -3.456225147641e+00 -3.393978582850e+00 -2.378936874413e+00 -1.374000058372e+00 -1.060555263497e+00 2.697312975431e+00 2.771714902851e+00 4.251743911117e+00 4.853217653771e+00 5.304262858093e+00 5.712380615880e+00 7.588812416205e+00 7.761639383524e+00 9.682160903411e+00 1.021153215200e+01 1.070146190832e+01 1.592263934419e+01 1.795744814684e+01 2.022647140014e+01
1.465763351622e-01 -2.308608918293e+01 -2.189841179257e+01 -2.040441959001e+01 -1.808196217219e+01 -1.493188801855e+01 -1.072203421031e+01 -9.518619277817e+00 -7.811964638919e+00 -6.953146007719e+00 -6.022789563323e+00 -5.595523706466e+00 -3.460835651355e+00 -3.423808717683e+00 -2.379889112760e+00 -1.373137238219e+00 -9.727847000870e-01 2.700282492396e+00 2.772480008187e+00 4.260907166569e+00 4.853812118265e+00 5.308825773286e+00 5.746015291715e+00 7.596596553202e+00 7.750617280684e+00 9.687169234541e+00 1.021622726448e+01 1.071479991046e+01 1.591704893120e+01 1.795722945429e+01 2.022574970687e+01
1.587910297591e-01 -2.308623922163e+01 -2.189773908671e+01 -2.040875465012e+01 -1.807776719944e+01 -1.493266915468e+01 -1.072697205423e+01 -9.536661839079e+00 -7.817772916231e+00 -6.958895225663e+00 -6.028271942412e+00 -5.599211115397e+00 -3.465783492012e+00 -3.450331968202e+00 -2.380934626634e+00 -1.372179768556e+00 -8.797054165117e-01 2.703384826092e+00 2.773256672542e+00 4.270669865363e+00 4.854252213301e+00 5.313747216786e+00 5.781290635642e+00 7.605115160121e+00 7.738991887030e+00 9.692507486092e+00 1.022149115873e+01 1.072904566003e+01 1.591098287705e+01 1.795699211242e+01 2.022497069188e+01
1.710057243559e-01 -2.308639748812e+01 -2.189701816016e+01 -2.041340452012e+01 -1.807325634225e+01 -1.493351749523e+01 -1.073228750124e+01 -9.555694497810e+00 -7.823961739345e+00 -6.965321041114e+00 -6.035137861833e+00 -5.603119299373e+00 -3.473086726993e+00 -3.471055322483e+00 -2.382075580171e+00 -1.371123782519e+00 -7.800485788094e-01 2.706599391127e+00 2.774033327733e+00 4.281007041092e+00 4.854495048393e+00 5.319014512365e+00 5.817946398552e+00 7.614378395814e+00 7.726840401264e+00 9.698146011512e+00 1.022736532468e+01 1.074414580573e+01 1.590444392041e+01 1.795673621705e+01 2.022413569175e+01
1.832204189528e-01 -2.308656314624e+01 -2.189625030732e+01 -2.041836196801e+01 -1.806843416283e+01 -1.493443409883e+01 -1.073797615675e+01 -9.575634779658e+00 -7.830512548374e+00 -6.972470836386e+00 -6.043472439350e+00 -5.607233247936e+00 -3.491708440317e+00 -3.476637596012e+00 -2.383314157656e+00 -1.369965447228e+00 -6.713661361993e-01 2.709906935633e+00 2.774798198803e+00 4.291897012989e+00 4.854497280336e+00 5.324613141240e+00 5.855723020363e+00 7.624395367777e+00 7.714242183122e+00 9.704051897443e+00 1.023389466520e+01 1.076004590814e+01 1.589743506732e+01 1.795646187318e+01 2.022324614125e+01
1.954351135496e-01 -2.308673531060e+01 -2.189543691979e+01 -2.042361928099e+01 -1.806330556570e+01 -1.493542009112e+01 -1.074403316930e+01 -9.596400420328e+00 -7.837405727712e+00 -6.980394591114e+00 -6.053324990975e+00 -5.611537535366e+00 -3.505922859265e+00 -3.482516697438e+00 -2.384652540921e+00 -1.368701010918e+00 -5.486521522148e-01 2.713289723627e+00 2.775539402114e+00 4.303321216419e+00 4.854215567775e+00 5.330526755890e+00 5.894364940706e+00 7.635173637371e+00 7.701278091195e+00 9.710189000592e+00 1.024112725346e+01 1.077669087753e+01 1.588995960281e+01 1.795616919537e+01 2.022230357128e+01
2.076498081465e-01 -2.308691304914e+01 -2.189457948669e+01 -2.042916827657e+01 -1.805787579841e+01 -1.493647666190e+01 -1.075045320601e+01 -9.617910017699e+00 -7.844620675023e+00 -6.989144528607e+00 -6.064705377561e+00 -5.616016430790e+00 -3.515539836552e+00 -3.488679065280e+00 -2.386092888295e+00 -1.367326845324e+00 -3.993629913130e-01 2.716731643300e+00 2.776245033161e+00 4.315263899591e+00 4.853606991278e+00 5.336737253144e+00 5.933623612108e+00 7.646718683877e+00 7.688029834157e+00 9.716518086162e+00 1.024911396869e+01 1.079402537307e+01 1.588202110362e+01 1.795585830810e+01 2.022130960668e+01
2.198645027434e-01 -2.308709538574e+01 -2.189367959507e+01 -2.043500031440e+01 -1.805215045224e+01 -1.493760506210e+01 -1.075723042752e+01 -9.640083593459e+00 -7.852135874521e+00 -6.998774606996e+00 -6.077582327464e+00 -5.620654004887e+00 -3.520447088806e+00 -3.495111303222e+00 -2.387637315292e+00 -1.365839482915e+00 -1.616768156329e-01 2.720218249774e+00 2.776903243095e+00 4.327711728302e+00 4.852629434677e+00 5.343224908462e+00 5.973260179235e+00 7.659033336978e+00 7.674579337782e+00 9.722997086041e+00 1.025790799248e+01 1.081199416068e+01 1.587362345203e+01 1.795552934607e+01 2.022026596398e+01
2.320791973402e-01 -2.308728130315e+01 -2.189273893028e+01 -2.044110630850e+01 -1.804613546280e+01 -1.493880660034e+01 -1.076435846281e+01 -9.662843065969e+00 -7.859928974241e+00 -7.009339815812e+00 -6.091883911980e+00 -5.625434232014e+00 -3.520603497846e+00 -3.501800279893e+00 -2.389287877114e+00 -1.364235648698e+00 3.149050444595e-01 2.723736752608e+00 2.777502303388e+00 4.340653335402e+00 4.851241926296e+00 5.349968570051e+00 6.013047805670e+00 7.661008129168e+00 7.672117191453e+00 9.729581490617e+00 1.026756415282e+01 1.083054242859e+01 1.586477085077e+01 1.795518245469e+01 2.021917444888e+01
