temperature_K,Veq_A3_per_10atom_cell,phonon_volume_extrapolated,alpha_volume_1e-6_K-1,alpha_linear_1e-6_K-1,BT_GPa,Cv_J_per_molK_Fe2O3,Cp_J_per_molK_Fe2O3,Cp_minus_Cv_J_per_molK
460.0,108.09174519912477,True,32.72441537340853,10.908138457802846,169.60548368446405,113.51408275642112,116.2333691528929,2.7192863964717917
470.0,108.12725169781247,True,32.95897027362216,10.986323424540718,169.2106599663399,113.95719893340448,116.76993458522028,2.8127356518157978
480.0,108.16302054049936,True,33.18780577488134,11.062601924960447,168.81487565115762,114.37576864752609,117.28252575924905,2.9067571117229676
490.0,108.19904564657925,True,33.41096617983652,11.136988726612175,168.41815727085375,114.7715090721029,117.77279517785824,3.001286105755345
500.0,108.23532131461992,True,33.62915465756622,11.20971821918874,168.02053341495935,115.14599517159616,118.24237466073,3.0963794891338354
510.0,108.27184297375774,True,33.842563183572594,11.280854394524198,167.62200650508038,115.50067307585272,118.69268234605252,3.192009270199808
520.0,108.30860532701611,True,34.051694570713664,11.350564856904555,167.22261567938486,115.83687240642304,119.12508345927385,3.2882110528508166
530.0,108.34560488263779,True,34.257116787816955,11.419038929272316,166.82235078865884,116.15581615644251,119.54085711663444,3.385040960191926
540.0,108.38283756477283,True,34.45874112424363,11.486247041414543,166.42122866146192,116.45863018307912,119.94106280459717,3.4824326215180457
550.0,108.42029968158076,True,34.65691795252468,11.552305984174893,166.0192674113281,116.74635436065398,120.32676277496138,3.5804084143074033
560.0,108.457987908736,True,34.852216318626006,11.617405439542003,165.6164780856155,117.01994631555226,120.69898897591148,3.6790426603592166
570.0,108.49589978158674,True,35.04457352279111,11.681524507597038,165.21285237736603,117.28029230777466,121.05857523557066,3.778282927795992
580.0,108.53403183352019,True,35.23428982097343,11.744763273657808,164.80842439927505,117.52821194992296,121.40636807669763,3.8781561267746727
590.0,108.57238224602082,True,35.421860291551255,11.807286763850417,164.40317631119294,117.76446333947109,121.74320023262793,3.97873689315683
600.0,108.61094862191021,True,35.60721257791499,11.869070859305,163.997122063688,117.989749220252,122.06972838699821,4.079979166746218
610.0,108.64972898166303,True,35.790512572431155,11.930170857477053,163.59026231503094,118.20472206668384,122.3866127330794,4.181890666395555
620.0,108.68872128426707,True,35.97218540467573,11.990728468225242,163.18260812527853,118.40998664511888,122.69453049526597,4.284543850147094
630.0,108.72792447081841,True,36.152006192358144,12.050668730786048,162.77414480629176,118.6061058038317,122.99396599825768,4.387860194425988
640.0,108.76733600814022,True,36.330278184459885,12.110092728153294,162.3649090369764,118.79360252120756,123.28549128103748,4.491888759829915
650.0,108.80695549438099,True,36.50741643710376,12.169138812367917,161.95487285308297,118.97296405673012,123.56967443188495,4.596710375154822
660.0,108.84678129664115,True,36.6834009532635,12.2278003177545,161.54405314573467,119.14464357615766,123.84694640080608,4.702302824648408
670.0,108.88681296873453,True,36.85834045570324,12.286113485234413,161.132431098424,119.3090654845242,124.11774141774127,4.8086759332170725
680.0,108.927049112842,True,37.03204504361679,12.34401501453893,160.7200259944116,119.46662370659226,124.38238679258421,4.915763085991948
690.0,108.96748886823235,True,37.20500170314445,12.401667234381483,160.30683993357025,119.61768758422463,124.64136391851694,5.0236763342923165
700.0,109.00813189690717,True,37.37746486600635,12.459154955335451,159.89286315704132,119.762602212026,124.89507442810411,5.13247221607812
710.0,109.04897789270318,True,37.549120242896805,12.516373414298934,159.4780886959364,119.9016908820617,125.14374390147522,5.242053019413512
720.0,109.09002583255175,True,37.720068177637955,12.573356059212653,159.062533715783,120.0352551231425,125.38768864384288,5.352433520700367
730.0,109.13127562917863,True,37.890560713682575,12.630186904560858,158.64618580404806,120.16357826292563,125.62725124967923,5.4636729867536005
740.0,109.1727268093991,True,38.061148321366645,12.687049440455548,158.22904901919077,120.2869254911102,125.8628485989059,5.575923107795696
750.0,109.21438048919407,True,38.231928456955444,12.74397615231848,157.81110756276541,120.4055465055366,126.09475662969858,5.689210124161974
760.0,109.25623641027771,True,38.401481688588035,12.800493896196013,157.39236401356703,120.51967586908728,126.32277990838352,5.803104039296248
770.0,109.29829258920876,True,38.570427626583026,12.85680920886101,156.97283648204802,120.62953277353205,126.54730742568475,5.9177746521526995
780.0,109.34055012143996,True,38.74021435938957,12.91340478646319,156.55250075683077,120.73532408461674,126.76898378617365,6.033659701556915
790.0,109.38301019043138,True,38.909907385997755,12.96996912866592,156.13135837334912,120.83724475754245,126.98771612758524,6.1504713700428
800.0,109.42567185150573,True,39.07979054900146,13.026596849667154,155.70942564440358,120.93547793830086,127.20377360120732,6.268295662906456
810.0,109.4685369122984,True,39.24972165605389,13.083240552017966,155.28665518329754,121.03019646929775,127.41727913653311,6.387082667235366
820.0,109.51160411851254,True,39.41943308540807,13.139811028469358,154.86309174051357,121.12156352982097,127.62830532813709,6.506741798316108
830.0,109.55487469500628,True,39.58991549253277,13.196638497510921,154.43871018721347,121.20973252842359,127.83732843301921,6.627595904595628
840.0,109.59834955947731,True,39.76055794705502,13.253519315685006,154.0134959695604,121.29484850118317,128.04429137942307,6.749442878239913
850.0,109.64202860216723,True,39.931262263115386,13.310420754371796,153.587464333034,121.37704853748869,128.24929526014236,6.872246722653664
860.0,109.68591252861947,True,40.10254173172356,13.367513910574521,153.16061135561412,121.45646220452969,128.45264423608864,6.996182031558951
870.0,109.73000235771464,True,40.27432973345846,13.424776577819486,152.73292216892554,121.53321186956613,128.6544392280515,7.1212273584853625
880.0,109.77429865292565,True,40.4467243017681,13.482241433922699,152.30439805772465,121.60741388507174,128.85483344852673,7.247419563454998
890.0,109.81880265274259,True,40.619485714588066,13.539828571529355,151.8750231008729,121.67917832328274,129.05385213141685,7.3746738081340935
900.0,109.8635143981151,True,40.7926522715929,13.597550757197633,151.44481574821694,121.74860793474647,129.25161234093355,7.503004406187063
910.0,109.9084352158606,True,40.96684968675213,13.655616562250708,151.01375941072197,121.81580223737882,129.44844576739413,7.6326435300153275
920.0,109.95356652620534,True,41.141557822044206,13.713852607348068,150.58183600638904,121.88085481408622,129.64425739324295,7.763402579156726
930.0,109.99890851773311,True,41.3175587111958,13.772519570398602,150.14906406113397,121.94385400570766,129.8394363328908,7.895582327183142
940.0,110.04446433659808,True,41.49380875162478,13.831269583874928,149.71541498157617,122.00488471029821,130.03367438868003,8.028789678381806
950.0,110.0902318794915,True,41.6699751120575,13.889991704019167,149.2809029563458,122.06402584671444,130.22691753441546,8.16289168770102
960.0,110.13621356497084,True,41.84752442935036,13.949174809783452,148.84552248949262,122.12135395933714,130.41981576288873,8.2984618035516
970.0,110.18241052195071,True,42.02622695146374,14.00874231715458,148.40926762005452,122.17694064848985,130.61236112021976,8.435420471729902
980.0,110.22882467060907,True,42.20599211719467,14.068664039064888,147.97211713998442,122.23085605838457,130.8045953553197,8.573739296935106
990.0,110.27545694659132,True,42.38657488366826,14.128858294556087,147.5340764576451,122.28316578231866,130.99649168133863,8.713325899019976
1000.0,110.32230873632886,True,42.567668051440855,14.189222683813618,147.09513751939943,122.33392990028982,131.18798629134048,8.854056391050673
