volume,temperature_K,species,mean_Uiso_A2,mean_total_MSD_A2
V102,775,O,0.011946427678125619,0.035839283034376855
V102,800,Fe,0.01139648642134066,0.034189459264021976
V102,800,O,0.012311523054880057,0.03693456916464017
V102,825,Fe,0.011747095717547257,0.03524128715264177
V102,825,O,0.012677199120259065,0.03803159736077719
V102,850,Fe,0.012097863078112623,0.03629358923433787
V102,850,O,0.013043406552726648,0.03913021965817994
V102,875,Fe,0.012448775122061254,0.037346325366183764
V102,875,O,0.013410101414124041,0.040230304242372124
V102,900,Fe,0.012799819933257845,0.038399459799773536
V102,900,O,0.013777244440957874,0.04133173332287362
V102,925,Fe,0.013150986865808775,0.039452960597426326
V102,925,O,0.014144800443825664,0.042434401331476995
V102,950,Fe,0.01350226637960951,0.04050679913882853
V102,950,O,0.014512737796372292,0.04353821338911688
V102,975,Fe,0.013853649900734918,0.04156094970220475
V102,975,O,0.014881027998708348,0.044643083996125044
V102,1000,Fe,0.01420512970241627,0.04261538910724881
V102,1000,O,0.015249645303026582,0.045748935909079746
V104,0,Fe,0.0015946498986246513,0.004783949695873954
V104,0,O,0.002969032036410793,0.00890709610923238
V104,25,Fe,0.0016129147982620346,0.004838744394786104
V104,25,O,0.0029858380362331807,0.008957514108699542
V104,50,Fe,0.001699815452763673,0.005099446358291019
V104,50,O,0.0030457467137867482,0.009137240141360244
V104,75,Fe,0.0018715302392730577,0.005614590717819173
V104,75,O,0.00314910088169216,0.00944730264507648
V104,100,Fe,0.0021045681856469525,0.006313704556940858
V104,100,O,0.003294809120597644,0.009884427361792932
V104,125,Fe,0.0023771719503248895,0.007131515850974669
V104,125,O,0.003480025939305523,0.010440077817916569
V104,150,Fe,0.0026755469251920246,0.008026640775576074
V104,150,O,0.0036995268767647783,0.011098580630294334
V104,175,Fe,0.002991253399252229,0.008973760197756687
V104,175,O,0.0039474508305625345,0.011842352491687603
V104,200,Fe,0.0033190209465487597,0.009957062839646279
V104,200,O,0.004218423864018029,0.012655271592054087
V104,225,Fe,0.0036554512886953204,0.010966353866085961
V104,225,O,0.0045079424139371615,0.013523827241811484
V104,250,Fe,0.003998280170959667,0.011994840512879003
V104,250,O,0.004812386256837593,0.014437158770512779
V104,275,Fe,0.004345952089426101,0.013037856268278303
V104,275,O,0.0051288974960269065,0.01538669248808072
V104,300,Fe,0.004697368582046839,0.014092105746140518
V104,300,O,0.005455233031249742,0.016365699093749225
V104,325,Fe,0.005051734669372042,0.015155204008116126
V104,325,O,0.005789630649709953,0.01736889194912986
V104,350,Fe,0.005408462340737212,0.016225387022211636
V104,350,O,0.006130699519976732,0.018392098559930195
V104,375,Fe,0.0057671081755051035,0.01730132452651531
V104,375,O,0.0064773346669860475,0.019432004000958143
V104,400,Fe,0.006127331977548101,0.018381995932644304
V104,400,O,0.00682865155378548,0.02048595466135644
V104,425,Fe,0.006488868694596102,0.019466606083788307
V104,425,O,0.007183936449739729,0.021551809349219186
V104,450,Fe,0.006851508946043502,0.020554526838130506
V104,450,O,0.007542608822301493,0.022627826466904477
V104,475,Fe,0.007215085256676981,0.021645255770030944
V104,475,O,0.007904192762533787,0.02371257828760136
V104,500,Fe,0.0075794621516987295,0.02273838645509619
V104,500,O,0.008268295166304757,0.02480488549891427
V104,525,Fe,0.007944528914851768,0.023833586744555303
V104,525,O,0.008634588969495269,0.02590376690848581
V104,550,Fe,0.008310194215518811,0.024930582646556433
V104,550,O,0.009002800176899731,0.02700840053069919
V104,575,Fe,0.008676382068601319,0.026029146205803957
V104,575,O,0.009372697753375934,0.0281180932601278
V104,600,Fe,0.009043028758893025,0.027129086276679076
V104,600,O,0.009744085687762362,0.029232257063287085
V104,625,Fe,0.009410080472953601,0.028230241418860803
V104,625,O,0.01011679671722096,0.03035039015166288
V104,650,Fe,0.009777491456509255,0.029332474369527767
V104,650,O,0.010490687329309892,0.03147206198792968
V104,675,Fe,0.01014522256676547,0.03043566770029641
V104,675,O,0.010865633754203909,0.03259690126261173
V104,700,Fe,0.010513240124693424,0.031539720374080274
V104,700,O,0.011241528729561795,0.03372458618868539
V104,725,Fe,0.010881514997470426,0.032644544992411276
V104,725,O,0.011618278872439233,0.0348548366173177
V104,750,Fe,0.011250021859161964,0.033750065577485895
V104,750,O,0.011995802531314922,0.03598740759394477
V104,775,Fe,0.011618738590652364,0.03485621577195709
V104,775,O,0.012374028020285246,0.03712208406085574
V104,800,Fe,0.01198764578925411,0.03596293736776233
V104,800,O,0.012752892159352137,0.03825867647805641
V104,825,Fe,0.012356726365367597,0.037070179096102794
V104,825,O,0.013132339061337957,0.03939701718401387
V104,850,Fe,0.01272596520873332,0.038177895626199956
V104,850,O,0.01351231911865447,0.04053695735596341
V104,875,Fe,0.013095348910696586,0.039286046732089755
V104,875,O,0.013892788152911258,0.041678364458733776
V104,900,Fe,0.013464865531842536,0.04039459659552761
V104,900,O,0.0142737066979065,0.0428211200937195
V104,925,Fe,0.013834504406605103,0.04150351321981531
V104,925,O,0.014655039392421463,0.04396511817726439
V104,950,Fe,0.014204255978179146,0.042612767934537436
V104,950,O,0.015036754463844853,0.04511026339153456
V104,975,Fe,0.014574111658402259,0.04372233497520678
V104,975,O,0.015418823287281213,0.04625646986184364
V104,1000,Fe,0.01494406370831751,0.04483219112495253
V104,1000,O,0.01580122000766614,0.04740366002299842
