# x_Ainv held_b1_THz held_b2_THz held_b3_THz held_b4_THz held_b5_THz held_b6_THz held_b7_THz held_b8_THz held_b9_THz held_b10_THz held_b11_THz held_b12_THz held_b13_THz held_b14_THz held_b15_THz held_b16_THz held_b17_THz held_b18_THz held_b19_THz held_b20_THz held_b21_THz held_b22_THz held_b23_THz held_b24_THz held_b25_THz held_b26_THz held_b27_THz held_b28_THz held_b29_THz held_b30_THz
2.931526703245e-01 -1.094664936764e+00 6.624795333117e-01 8.929894949298e-01 1.369517677120e+00 1.908559270945e+00 2.040242159196e+00 2.909218639375e+00 2.992917574737e+00 3.372407794026e+00 3.651938437893e+00 3.655723369050e+00 4.436615767091e+00 5.433692194830e+00 5.794709573569e+00 7.151669068817e+00 8.043234044759e+00 8.599911514982e+00 1.003743551245e+01 1.011234902234e+01 1.103986170331e+01 1.134570188594e+01 1.181785941964e+01 1.208601253236e+01 1.291234297836e+01 1.490925271341e+01 1.624309616517e+01 1.676151077254e+01 1.739526641967e+01 2.250927415762e+01 2.431279286859e+01
3.053673649213e-01 -1.068732376602e+00 7.172268970949e-01 9.551426849723e-01 1.444518933534e+00 1.960967594736e+00 2.112584685724e+00 2.928501187773e+00 3.002345214819e+00 3.378450160755e+00 3.657130729928e+00 3.662588937101e+00 4.440915924094e+00 5.453006675832e+00 5.800527153156e+00 7.146506823241e+00 8.046720488308e+00 8.613900860074e+00 1.004127554478e+01 1.012368466848e+01 1.103996103953e+01 1.134091652303e+01 1.181247857068e+01 1.208386423767e+01 1.290916578707e+01 1.490073688739e+01 1.623301029158e+01 1.674509381868e+01 1.737816811904e+01 2.250927318103e+01 2.431257144967e+01
3.175820595182e-01 -1.040149986460e+00 7.694174002517e-01 1.013822225727e+00 1.519311915011e+00 2.011197663288e+00 2.183526578763e+00 2.948332855606e+00 3.012136091711e+00 3.384871010566e+00 3.662548646439e+00 3.670148063122e+00 4.445408430913e+00 5.472607837060e+00 5.806528477176e+00 7.141231659089e+00 8.050367063023e+00 8.628273880634e+00 1.004526681989e+01 1.013523372255e+01 1.104002780130e+01 1.133603750453e+01 1.180693249822e+01 1.208176285241e+01 1.290602859670e+01 1.489200330174e+01 1.622260075451e+01 1.672815600690e+01 1.736048516517e+01 2.250927169158e+01 2.431234399225e+01
3.297967541150e-01 -1.008811565183e+00 8.194972081126e-01 1.069643798518e+00 1.593730821305e+00 2.059245413784e+00 2.253039711381e+00 2.968610571435e+00 3.022304148710e+00 3.391674473223e+00 3.668197156603e+00 3.678486150712e+00 4.450096618815e+00 5.492446481869e+00 5.812708169126e+00 7.135856219762e+00 8.054168656947e+00 8.643005833303e+00 1.004940754334e+01 1.014697106270e+01 1.104005614788e+01 1.133107644832e+01 1.180122821423e+01 1.207972467883e+01 1.290294964507e+01 1.488306728620e+01 1.621187835693e+01 1.671071646791e+01 1.734223186417e+01 2.250926963929e+01 2.431211082466e+01
3.420114487119e-01 -9.745776744440e-01 8.677920385527e-01 1.123064616350e+00 1.667638625589e+00 2.105116282620e+00 2.321086335758e+00 2.989212654722e+00 3.032868666317e+00 3.398857914616e+00 3.674082418906e+00 3.687699112104e+00 4.454984198614e+00 5.512473321932e+00 5.819060633900e+00 7.130393689649e+00 8.058118993342e+00 8.658070657343e+00 1.005369564211e+01 1.015887135282e+01 1.104003987033e+01 1.132604525927e+01 1.179537310184e+01 1.207776660834e+01 1.289994732243e+01 1.487394469231e+01 1.620085437124e+01 1.669279532363e+01 1.732342322837e+01 2.250926697347e+01 2.431187228231e+01
3.542261433087e-01 -9.372656069906e-01 9.145476694847e-01 1.174428127141e+00 1.740922638367e+00 2.148827158016e+00 2.387618635539e+00 3.010000352701e+00 3.043855525908e+00 3.406409653082e+00 3.680212001918e+00 3.697892901987e+00 4.460075298678e+00 5.532639113273e+00 5.825580006988e+00 7.124857775676e+00 8.062210609094e+00 8.673440964146e+00 1.005812874371e+01 1.017090910384e+01 1.103997241621e+01 1.132095609411e+01 1.178937492671e+01 1.207590609188e+01 1.289704006922e+01 1.486465187571e+01 1.618954054395e+01 1.667441371423e+01 1.730407499430e+01 2.250926364282e+01 2.431162870715e+01
3.664408379056e-01 -8.966347337095e-01 9.599546847871e-01 1.223994437267e+00 1.813489337199e+00 2.190407604100e+00 2.452577825010e+00 3.030821113356e+00 3.055298809269e+00 3.414306615760e+00 3.686595135397e+00 3.709182013996e+00 4.465374506802e+00 5.552894787015e+00 5.832260095733e+00 7.119262686189e+00 8.066434841044e+00 8.689088032850e+00 1.006270415487e+01 1.018305873626e+01 1.103984692280e+01 1.131582132162e+01 1.178324184881e+01 1.207416110399e+01 1.289424626423e+01 1.485520567626e+01 1.617794910043e+01 1.665559382558e+01 1.728420364148e+01 2.250925959554e+01 2.431138044701e+01
3.786555325024e-01 -8.523644211689e-01 1.004164307082e+00 1.271961712561e+00 1.885259408639e+00 2.229900278115e+00 2.515892743767e+00 3.051513695875e+00 3.067242826699e+00 3.422512281610e+00 3.693242992685e+00 3.721686589070e+00 4.470886915520e+00 5.573191574605e+00 5.839094313012e+00 7.113623107127e+00 8.070781820029e+00 8.704981812903e+00 1.006741883997e+01 1.019529464437e+01 1.103965625931e+01 1.131065347819e+01 1.177698243467e+01 1.207255009999e+01 1.289158410297e+01 1.484562339551e+01 1.616609274956e+01 1.663635891704e+01 1.726382641217e+01 2.250925477946e+01 2.431112785511e+01
3.908702270993e-01 -8.040194403983e-01 1.047298903270e+00 1.318481547085e+00 1.956163375520e+00 2.267360532111e+00 2.577477886642e+00 3.071914944958e+00 3.079744674542e+00 3.430975389557e+00 3.700169003808e+00 3.735527854330e+00 4.476618170091e+00 5.593481127329e+00 5.846075603927e+00 7.107954175340e+00 8.075240472403e+00 8.721090934468e+00 1.007226939910e+01 1.020759126248e+01 1.103939307851e+01 1.130546521808e+01 1.177060566988e+01 1.207109196548e+01 1.288907146666e+01 1.483592277155e+01 1.615398468837e+01 1.661673334919e+01 1.724296133204e+01 2.250924914214e+01 2.431087128943e+01
4.030849216962e-01 -7.509930926298e-01 1.089459156323e+00 1.363670158953e+00 2.026137867350e+00 2.302855268414e+00 2.637230829734e+00 3.091867716625e+00 3.092877404842e+00 3.439629948871e+00 3.707389196042e+00 3.750821810214e+00 4.482574517948e+00 5.613715629994e+00 5.853196366362e+00 7.102271448839e+00 8.079798528766e+00 8.737382727515e+00 1.007725204604e+01 1.021992313367e+01 1.103904987795e+01 1.130026925853e+01 1.176412097201e+01 1.206980595766e+01 1.288672578183e+01 1.482612195104e+01 1.614163860662e+01 1.659674261137e+01 1.722162723177e+01 2.250924263101e+01 2.431061111213e+01
4.152996162930e-01 -6.924077278205e-01 1.130729067863e+00 1.407616639582e+00 2.095122441925e+00 2.336461188743e+00 2.695029106281e+00 3.106733804056e+00 3.111229113897e+00 3.448396999018e+00 3.714922554645e+00 3.767671429579e+00 4.488762857888e+00 5.633847908718e+00 5.860448366556e+00 7.096590873670e+00 8.084442539619e+00 8.753823250486e+00 1.008236258596e+01 1.023226498109e+01 1.103861907077e+01 1.129507831917e+01 1.175753820363e+01 1.206871163760e+01 1.288456387137e+01 1.481623945815e+01 1.612906869117e+01 1.657641334851e+01 1.719984376962e+01 2.250923519346e+01 2.431034768897e+01
4.275143108899e-01 -6.269259558648e-01 1.171179500992e+00 1.450389094659e+00 2.163056808082e+00 2.368262626467e+00 2.750726836689e+00 3.121430538547e+00 3.129877976107e+00 3.457188281061e+00 3.722791390214e+00 3.786158080597e+00 4.495190786643e+00 5.653831532813e+00 5.867822651071e+00 7.090928747010e+00 8.089157897661e+00 8.770377329347e+00 1.008759639328e+01 1.024459178240e+01 1.103809306594e+01 1.128990505591e+01 1.175086768561e+01 1.206782879292e+01 1.288260179765e+01 1.480629416028e+01 1.611628963019e+01 1.655577338707e+01 1.717763145500e+01 2.250922677699e+01 2.431008138872e+01
4.397290054867e-01 -5.523497708817e-01 1.210870712025e+00 1.492039261983e+00 2.229878285632e+00 2.398349172024e+00 2.804151986024e+00 3.137111871744e+00 3.147720566868e+00 3.465911536296e+00 3.731021690105e+00 3.806333308067e+00 4.501866639728e+00 5.673620910790e+00 5.875309456928e+00 7.085301675977e+00 8.093928866432e+00 8.787008607811e+00 1.009294838962e+01 1.025687884707e+01 1.103746435753e+01 1.128476198928e+01 1.174412021034e+01 1.206717735021e+01 1.288085469900e+01 1.479630523055e+01 1.610331661709e+01 1.653485175939e+01 1.715501167297e+01 2.250921732928e+01 2.430981258258e+01
4.519437000836e-01 -4.646154157264e-01 1.249854164620e+00 1.532606020141e+00 2.295519343264e+00 2.426813292323e+00 2.855106258056e+00 3.153951042712e+00 3.164693668528e+00 3.474476678739e+00 3.739643418515e+00 3.828212321785e+00 4.508799522615e+00 5.693171380547e+00 5.882898121890e+00 7.079726531542e+00 8.098738615026e+00 8.803679609454e+00 1.009841302211e+01 1.026910189692e+01 1.103672562220e+01 1.127966142735e+01 1.173730705488e+01 1.206677727656e+01 1.287933662084e+01 1.478629210670e+01 1.609016535416e+01 1.651367872601e+01 1.713200670986e+01 2.250920679833e+01 2.430954164360e+01
